id,time,longitude,latitude,depth,magnitude,place
nc73786811,2022-09-28 17:02:02.090,-121.6206667,37.5,7.61,3.35,"24km NE of Alum Rock, CA"
nc73786496,2022-09-27 15:39:12.280,-121.603,36.9603333,5.37,2.61,"6km SSW of Gilroy, CA"
ci40107319,2022-09-27 13:02:57.910,-116.4898333,34.4301667,7.67,3.33,"36km N of Yucca Valley, CA"
ci40107223,2022-09-27 09:10:44.470,-118.3876667,35.509,4.99,2.55,"13km SE of Bodfish, CA"
ci40107167,2022-09-27 08:03:39.320,-118.3885,35.5076667,5.18,3.7,"13km SE of Bodfish, CA"
nc73786291,2022-09-27 06:46:02.150,-119.878,35.9696667,29.65,2.78,"9km ESE of Kettleman City, CA"
ci40107063,2022-09-27 01:46:17.230,-118.546,35.3355,3.08,2.78,"24km NNW of Tehachapi, CA"
nc73786101,2022-09-26 17:07:38.680,-123.1926667,39.7988333,6.42,2.52,"5km E of Covelo, CA"
nc73785906,2022-09-26 05:18:31.980,-122.7428333,38.8051667,1.9,2.7,"2km SW of Cobb, CA"
nc73785696,2022-09-25 11:18:52.990,-121.1085,36.5491667,1.75,2.52,"4km ENE of Pinnacles, CA"
nc73785241,2022-09-24 04:03:34.050,-121.1003333,36.545,2.42,2.5,"4km ENE of Pinnacles, CA"
nc73784941,2022-09-23 06:58:34.290,-122.714,38.7713333,1.66,3.05,"2km WSW of Anderson Springs, CA"
nc73784806,2022-09-22 22:24:54.670,-122.6548333,40.2178333,8.27,2.74,"31km NW of Rancho Tehama Reserve, CA"
nc73784676,2022-09-22 17:06:52.580,-123.1876667,39.7915,6.24,2.77,"5km E of Covelo, CA"
ci40103815,2022-09-21 10:50:48.980,-117.8355,36.1721667,7.13,3.04,"17km NE of Coso Junction, CA"
ci40103399,2022-09-20 18:38:33.700,-115.7913333,33.3623333,2.99,2.73,"6km WNW of Bombay Beach, CA"
ci40103391,2022-09-20 18:34:41.320,-115.791,33.3613333,3.01,3.48,"6km WNW of Bombay Beach, CA"
nc73783921,2022-09-20 14:12:13.840,-123.1853333,39.8078333,8.54,2.59,"6km ENE of Covelo, CA"
nc73783911,2022-09-20 14:03:08.070,-123.1861667,39.8005,9.05,3.96,"5km E of Covelo, CA"
ci40103127,2022-09-20 09:21:56.730,-117.479,35.704,4.52,2.82,"10km SW of Searles Valley, CA"
nc73783386,2022-09-19 04:47:18.910,-121.3453333,36.7296667,7.74,3.26,"7km SSW of Tres Pinos, CA"
ci40102487,2022-09-18 15:33:07.050,-115.9435,33.761,6.73,2.58,"23km NE of Thermal, CA"
ci40102327,2022-09-18 09:13:21.970,-115.9403333,33.764,6.34,3.3,"23km NE of Thermal, CA"
ci40102247,2022-09-18 06:55:48.060,-115.9373333,33.7635,6.15,3.53,"23km NE of Thermal, CA"
ci40102063,2022-09-18 05:04:41.750,-115.939,33.7621667,6.19,2.54,"23km NE of Thermal, CA"
ci40101999,2022-09-18 04:43:31.310,-115.9406667,33.7633333,6.12,2.68,"23km NE of Thermal, CA"
nc73782941,2022-09-18 02:35:43.010,-119.7873333,37.6095,32.41,2.83,"14km ENE of Midpines, CA"
ci40101903,2022-09-18 01:03:01.810,-117.9805,35.9601667,3.76,2.9,"7km WNW of Little Lake, CA"
ci40101519,2022-09-17 08:09:21.750,-117.7216667,35.8918333,8.96,2.56,"17km ESE of Little Lake, CA"
nc73782441,2022-09-16 16:12:42.850,-119.505,38.5233333,5.3,3.65,"2km WNW of Walker, CA"
nc73782086,2022-09-15 20:07:05.390,-121.0358333,36.9443333,6.42,3.25,"21km SW of Los Banos, CA"
nc73781891,2022-09-15 09:41:16.770,-122.2441667,37.859,8.6,2.85,"3km ESE of Berkeley, CA"
nc73781611,2022-09-14 18:55:06.140,-122.4135,38.2855,6.62,2.67,"4km E of Sonoma, CA"
nc73781501,2022-09-14 13:06:55.030,-121.5546667,36.8216667,5.76,2.82,"3km SSW of San Juan Bautista, CA"
ci40100063,2022-09-14 04:14:30.280,-117.376,36.043,1.16,2.74,"31km N of Searles Valley, CA"
nc71129069,2022-09-14 01:40:20.420,-122.7036667,38.4813333,5.59,4.29,"4km N of Santa Rosa, CA"
nc73781306,2022-09-14 01:39:38.730,-122.7071667,38.475,5.57,4.39,"3km N of Santa Rosa, CA"
ci40099991,2022-09-14 01:23:36.000,-119.391,35.2793333,21.58,2.68,"15km SSE of Buttonwillow, CA"
nc73781266,2022-09-13 22:44:25.840,-118.8123333,37.4665,8.99,3.0,"16km SW of Toms Place, CA"
nc73781151,2022-09-13 15:24:37.250,-121.5245,37.1288333,6.34,2.69,"9km ENE of San Martin, CA"
nc73780871,2022-09-12 20:09:09.110,-120.4031667,39.6025,-1.55,3.3,"16km WSW of Loyalton, CA"
nc73780841,2022-09-12 16:12:35.900,-120.3996667,39.6043333,-1.73,2.74,"16km WSW of Loyalton, CA"
ci40099295,2022-09-12 14:35:56.610,-118.5978333,34.2053333,6.14,2.6,"1km NE of Canoga Park, CA"
nc73780681,2022-09-12 05:31:30.380,-122.2335,37.8453333,9.29,2.92,"2km N of Piedmont, CA"
